id,nom,link,ingredients,pas,temps,catégorie,nationalité_recette,convive,valeur_nutritionnelle
21,Receta de cachapa de hoja venezolana ,https://www.comedera.com/receta-de-cachapa-de-hoja-venezolana/,"['5 tazas de agua', '1 cdta.  de sal', '5   jojotos tiernos con sus hojas', '2 cdta. de sal', '1  cda.  de azúcar', '½ taza   de agua']","['Empieza pelando los jojotos hasta retirar todas las hebras.', 'Desecha las hojas en mal estado y reservar las que sean útiles.', 'Desgrana los jojotos con un cuchillo filoso y tritura en un molino o procesador de alimentos.', 'En un recipiente, mezclar los jojotos molidos con la sal, el azúcar y la ½ taza de agua.', 'Integra los ingredientes hasta que quede una mezcla homogénea.', 'Toma las hojas de jojoto y dejar un hueco en la parte superior.', 'Dobla la mitad hacia arriba y rellenar la hoja con la masa usando un cucharón pequeño, seguidamente coloca otra hoja en sentido contrario.', 'Amarrar las cachapas de hoja a la mitad con una tira hecha de las mismas hojas del jojoto, de 1 cm. de ancho aproximadamente. También puedes amarrarlas con pabilo.', 'Una vez terminada la montura, coloca en una olla 5 tazas de agua con 2 cucharadas de sal, en el fondo de la olla, sitúa una capa de hojas para sostener las cachapas durante la cocción y deja hervir.', 'Introduce las cachapas en la olla hirviendo, una a una y en posición vertical.', 'El tiempo aproximado de cocción es de 45 minutos.', 'Para saber si las cachapas están listas, golpea con los dedos, deben sonar huecas (como tambor).', 'Baja inmediatamente la temperatura y retira las cachapas del agua.', 'Deja sobre un colador por 10 minutos y luego disfruta.']",['10 minutos minutos'],['Receta tradicional'],['Venezolana'],['4 porciones'],['203kcal']
22,Cómo preparar una arepa llanera venezolana ,https://www.comedera.com/como-preparar-una-arepa-llanera-venezolana/,"['3 tazas \xa0de harina de maíz precocida', '3 ½ tazas de agua', '½ cdta.  de sal']","['En un bol profundo añade el agua y diluye en ella la sal. Mezcla con la ayuda de una paleta.', 'Agrega la harina y deja que el agua la hidrate por 3 minutos, cuando ya el agua está absorbida totalmente, mezcla con la paleta.', 'Con tus manos lavadas vas a amasar por 2 minutos hasta obtener una textura muy suave y compacta.']",['10 minutos minutos'],['A la plancha'],['Venezolana'],['8 porciones'],['350kcal']
23,Receta de parrilla mar y tierra venezolana ,https://www.comedera.com/receta-de-parrilla-mar-y-tierra-venezolana/,"['300 gr de pechuga de pollo', '300 gr  de carne de res (solomo o punta trasera)', '150 gr de camarones limpios', '150  gr  de pulpo', '300  gr  de lomo de cerdo', '100 gr de calamares  cortados en ruedas', '2  cebollas cortadas en julianas', '2  pimentones cortados en julianas', '1 cda.  adobo completo', 'sal al gusto', 'pimienta al gusto', 'papas fritas para acompañar']","['Cuando tengas los mariscos limpios, sazona con un poco de sal, pimienta y un chorrito de aceite. Reserva.', 'Condimenta cada uno de los filetes de carne de res, cerdo y pollo. Reserva.', 'Agrega a la parrilla caliente los filetes de cerdo y los tentáculos de pulpo, deja que se cocinen por 8 minutos de cada lado.', 'Agrega luego los filetes de carne, de pollo. Cocina todo por unos 7 minutos o al punto de tu preferencia.', 'Una vez cocida, pica toda la carne, pollo y cerdo en tiras.', 'Añade un poco más de aceite en la parrilla y agrega los camarones. Déjalos cocinar por 5 minutos.', 'Retira los camarones y el pulpo, este último córtalo en pedazos pequeños.', 'Pon un sartén a calentar sobre la parrilla y vierte un chorrito de aceite. Agrega los vegetales y los calamares enteros y sofríelos por un par de minutos.', 'Añade una pizca de sal y pimienta. Retira y reserva.', 'Mezcla los vegetales con todas las carnes y sirve.', 'Acompaña con papas fritas, yuca sancochada o el contorno de tu preferencia.']",['20 minutos minutos'],['a la parrilla'],['Venezolana'],['4 personas'],['370kcal']
24,Receta de torta de guanábana venezolana ,https://www.comedera.com/torta-de-guanabana-venezolana/,"['5 huevos', '1 taza de azúcar', '2 ½ tazas de harina leudante', '1 taza de leche líquida', '¾\xa0 taza de mantequilla a temperatura ambiente', '5 cdas de esencia de vainilla', '1 cda de polvo de hornear']","['Separar las claras de las yemas y reservar en recipientes separados.', 'Precalienta el horno a 180 ºC.', 'En un bol agrega la mantequilla y el azúcar y empieza a mezclar con la ayuda de una batidora.', 'Incorpora a la mezcla de mantequilla y azúcar\xa0las yemas antes reservadas, sigue batiendo.', 'Agrega\xa0la mitad de la harina y la mitad de la leche. Bate hasta incorporar todo.', 'Añade el resto de la leche y la harina poco a poco sin dejar de batir.', 'En otro recipiente bate las claras a punto de nieve\xa0y luego las añades a la mezcla final.', 'Intégralas a la mezcla con una espátula o paleta, con movimientos envolventes.', 'Vierte la mezcla a una tortera previamente enharinada, llévala\xa0al horno a 180 ºC\xa0por 40 minutos.', 'Deja reposar el\xa0bizcocho de vainilla\xa0unos 15 minutos y luego desmóldalo. Reserva.']",['20 minutos minutos'],['postre tradicional'],['Venezolana'],['8 porciones'],['620kcal']
25,Cómo hacer arepitas dulces venezolanas ,https://www.comedera.com/como-hacer-arepitas-dulces-venezolanas/,"['½ kg.  de harina de maíz precocida', '¼ panela  de papelón  diluido en dos tazas de agua', '1 cda. de anís dulce', '2 tazas de aceite vegetal para freír', '½ kg  de queso blanco fresco  puede ser guayanés, telita, cuajada o duro.', 'mantequilla para untar a las arepas']","['En una olla agrega el papelón diluido y la cucharada de anís dulce y deja cocinar hasta que hierva. Al entrar en ebullición lo apagas inmediatamente.', 'Añade 2 tazas de agua y deja enfriar, éste es el líquido con el que harás la masa.', 'En un bol profundo añade la harina de maíz y empieza a verter el papelón poco a poco hasta que lo cubra completamente. No siempre necesitarás todo el líquido.', 'Mezcla con la ayuda de una cuchara hasta que el líquido haya sido absorbido completamente por la harina.', 'Con tus manos limpias comienza a amasar suavemente hasta que tengas una masa compacta pero suave.', 'En una sartén profunda agrega el aceite y ponlo sobre la estufa a fuego medio.', 'Agarra una porción pequeña de la masa y haz una bolita, luego aplasta con las palmas de la mano hasta que la arepa quede de medio centímetro o más fina.', 'Agrega al aceite caliente la arepa dulce y con una cuchara báñala hasta que se infle y empiece a dorarse, aproximadamente 1 minuto por cada lado.', 'Voltea la arepa con una pinza, y vuelve a repetir el proceso hasta que se acabe la masa.', 'Puedes rellenarla abriéndola por el medio y untando mantequilla y abundante queso blanco fresco. O puedes servirla cerrada con mantequilla por encima y el queso.', 'Sirve y disfruta mientras estén tibias.']",['5 minutos minutos'],['Receta tradicional'],['Venezolana'],['10 arepitas'],['108kcal']
26,Receta de arepas andinas venezolanas ,https://www.comedera.com/receta-de-arepas-andinas-venezolanas/,"['½ kg de harina de trigo', '1 cdta  de polvo de hornear', '1 pizca   de sal', '2 cda  de azúcar', '2 cda de mantequilla', '1 huevo', 'Leche líquida tibia, la necesaria para amasar']","['Coloca la harina con el polvo de hornear en un bol junto con la sal y el azúcar.', 'Mezcla bien con la ayuda de una cuchara de madera.', 'Haz un hueco en el centro, como un volcán y añade la mantequilla con el huevo.', 'Mezcla bien hasta que no tenga grumos la masa.', 'Agrega poco a poco la leche amasando constantemente, hasta que se comience a formar la masa, que no quede muy húmeda.', 'Amasa muy bien hasta que esté suave. Dejar reposar por aproximadamente una hora, a temperatura ambiente.', 'Haz un “rollo” con la masa que quede largo, luego corta discos y esparce harina sobre un mesón limpio.', 'Con la ayuda de un rodillo empieza a estirar los discos del centro hasta los bordes.', 'Deben tener un espesor de un centímetro aproximadamente o más delgadas si lo deseas.', 'Al terminarlas de estirar púyalas con un tenedor, luego calienta la plancha y baña con un poco de aceite.', 'Cocina a fuego bajo por 1 minuto cada lado.', 'Finalmente, colócalas sobre un paño seco, cúbrelas hasta que estén tibias y luego rellénalas con mantequilla y queso y disfrútalas con café caliente.']",['20 minutos minutos'],['A la plancha'],['Venezolana'],['6 arepas'],['130kcal']
27,Receta de plátanos dulces venezolanos ,https://www.comedera.com/receta-de-platanos-dulces-venezolanos/,"['3 plátanos maduros', '2  cda de mantequilla', '4  cda de azúcar', '4 clavitos de especias', '1 taza  de agua']","['Empieza esta receta pelando los plátanos, y cortándolos en ruedas del mismo tamaño.', 'En una sartén antiadherente, a fuego medio, agrega la mantequilla, y deja que se derrita por completo.', 'Añade los plátanos y deja dorar por un lado, aproximadamente 2 minutos, luego voltéalos y deja el mismo tiempo por el otro lado.', 'Agrega el azúcar, el agua y los clavitos de especia. Deja cocinar a fuego medio bajo por 5 minutos con el sartén tapado.', 'Pasado este tiempo da vuelta nuevamente a los plátanos y si queda poca agua agrega media taza más y vuelve a tapar.', 'Retira los clavitos de la sartén y sirve de inmediato.']",['10 minutos minutos'],['A la sartén'],['Venezolana'],['4 personas'],['177kcal']
28,Cómo hacer arepa sifrina venezolana ,https://www.comedera.com/como-hacer-arepa-sifrina/,"['3 tazas  de harina de maíz precocida', '3 tazas  de agua', 'Sal al gusto', '1 cda  de mantequilla derretida']","['Inicia la receta, haciendo la masa.', 'En un bol, coloca la harina, la sal, y mezcla con una espátula.', 'Luego, añade el agua y la mantequilla derretida. Con la ayuda de las manos, previamente limpias, mezcla todo con movimientos lentos hasta obtener una masa suave y manejable. Resérvala.', 'Si notas que hace falta más agua o harina, puedes agregar más. Debe quedar una masa compacta pero muy suave y fácil de moldear.', 'Calienta una plancha, sartén o grill a fuego medio y engrasa con aceite.', 'Ahora, tu masa y haz bolitas. El tamaño dependerá de tus gustos, te recomiendo que la hagas pequeñas para que el resultado final tenga una capa crujiente. Puedes guiarte por las dimensiones de una pelota de golf.', 'Después que hagas todas las bolitas de masa, aplástalas delicadamente con ambas manos para obtener la forma característica de las arepas. Sabemos que este proceso consta de mucha práctica, pero te aseguramos que es fácil.', 'Te recomiendo que hagas las arepas delgadas para que su cocción sea más rápida y tengas una forma crocante.\xa0Coloca las arepas sobre el sartén o plancha previamente calentado.', 'Cocina por 10 minutos por ambos lados. Cuando veas que nuestra arepa tiene una especie de ""Concha o costra"", la volteas. Repite este paso por el otro lado.\xa0Puedes ver más detalles de cómo se realizan las arepas\xa0aquí.', 'Para el relleno, toma la pechuga cocida, y desmenuza o deshebra en partes no tan finas. Lo ideal es que nuestro relleno tenga textura. Agrega la pechuga en un bol.', 'Pela los aguacates y vierte toda su pulpa en un bol. Con la ayuda de un tenedor, tritura hasta que te quede como un puré.', 'Agrega sal y pimienta al gusto y el cilantro. Mezcla todos los ingredientes.', 'Ahora, vierte esta mezcla al bol del pollo junto a la mayonesa.', 'Mezcla muy bien hasta que quede cremosa. Prueba y rectifica del sabor, puedes añadirle sal si hace falta.', 'Para rellenar las arepas, abre con cuidado con la ayuda de un cuchillo de mesa. Puedes untarle mantequilla que es tradición en Venezuela.', 'Luego, rellena con la mezcla de pollo y aguacate y culmina con una porción de queso amarillo rallado.', 'Tu arepa sifrina está lista para comer. ¡Disfruta!']",['20 minutos minutos'],['Receta tradicional'],['Venezolana'],['8 Porciones'],['520kcal']
29,"Receta de pastelitos andinos de carne, delicia venezolana ",https://www.comedera.com/receta-de-pastelitos-andinos-de-carne-delicia-venezolana/,"['500 gr de harina de trigo', '265 ml.  de agua', '3 gr  de sal', '4 gr de polvo de hornear', '25 ml.  de aceite']","['Machaca los dientes de ajo\xa0e incorpóralos a la carne junto con la sal. Mezcla muy bien y deja macerar por 10 minutos.', 'Prepara el arroz blanco como indica en esta receta.', 'En un olla agrega abundante agua y incorpora los huevos y cuece por 13 minutos, pasado este tiempo deja enfriar y retira la cáscara. Córtalos en rebanadas y reserva.', 'Dentro de un picatodo agrega los vegetales y procesa hasta que queden cortados muy pequeños. Si no tienes picatodo pica todo en cubos pequeños.', 'Sofríe la carne\xa0con un poco de aceite. Deja que se dore y que se integre el sabor del ajo.', 'Cuando esté cocida,\xa0agrega todos los vegetales y el onoto\xa0en polvo. Revuelve bien hasta que todos los vegetales se cocinen, aproximadamente 7 minutos.', 'Incorpora alrededor de una taza de agua y\xa0tapa la cazuela\xa0para que se termine de cocinar a fuego medio.', 'Cuando la mitad del agua se evapore casi completamente, corrige la sal e\xa0incorpora el arroz cocido\xa0previamente. Reserva el guiso para el momento del relleno.']",['1 hora hora'],['fritura'],['Venezolana'],['14 pastelitos'],['292kcal']
30,Aprende cómo hacer tizana venezolana ,https://www.comedera.com/tizana-venezolana/,"['1 piña pelada y cortada en cubos', '4 cambures maduros pelados y cortados en ruedas', '4 naranjas peladas, sin semillas y cortadas', '1 manga madura  pelada y cortada en cubos', '8 cups de lechosa/ papaya pelada y cortada en cubos (medio kilo)', '34 oz de jugo de naranja 1 litro', '4 unidades  limón su jugo', '1 cup de granadina al gusto', '8 cups de patilla/ sandía cortada en cubos', '3 manzanas verdes o rojas  cortadas en cubos', '1 de melón cortado en cubos', '2 cups mandarina  sin semilla y cortada']","['En un bol o jarra grande agrega las frutas cortadas.', 'Agrega el jugo de limón y naranja y mezcla con una cuchara.', 'Echa la granadina y mezcla muy bien todo.', 'Puedes agregar hielo en cubos si no tienes tiempo de dejarla refrigerando.']",['10 minutos minutos'],['Receta tradicional'],['Venezolana'],['8 vasos'],['85kcal']
31,"Receta de buñuelos colombianos, dulce criollo ",https://www.comedera.com/bunuelos-colombianos-tipica-delicia/,"['1 taza de fécula de maíz', '1 cda de almidón de yuca', '1 cda de azúcar', '¼ cda de polvo de hornear', 'Sal  al gusto', '2 tazas de queso molido', '1 huevo', '1 taza de agua', 'Aceite para freír']","['Inicia la receta y coloca en un bol, la fécula de maíz, el azúcar, el almidón de yuca y el polvo de hornear.', 'Luego, añade la sal al gusto y mezcla muy bien todos los ingredientes secos.', 'Procede y agrega el queso molido o rallado y el huevo. Mezcla muy bien hasta que vaya tomando forma.', 'Continúa y vierte el vaso de agua. Mezcla muy pero muy bien hasta que te quede una masa homogénea y bien suave.', 'Calienta un sartén con aceite para freír.', 'Toma la masa suave y divídela en porciones iguales. Luego, haz bolitas del mismo tomaño y redonditas.', 'Posteriormente, cuando el aceite esté caliente. Agrega los buñuelos y fríe hasta que queden bien doraditos y esponjosos por dentro.', 'Coloca los buñuelos en un papel absorbente y cuando estén tibios, puedes degustar.', '¡Disfruta!']",['10 minutos minutos'],['postre tradicional'],['Colombiana'],['8 porciones'],['430kcal']
32,"Puchero colombiano, un estofado con sabor a tradición ",https://www.comedera.com/puchero-colombiano/,"['1 kg de carne de res  para guisar', '2 chorizos', '1 kg de yuca  pelada y cortada en trozos', '1 repollo mediano cortado en tiras', '2 mazorcas de maíz  partidas por la mitad', '3 papas peladas y cortadas en trozos', '2 zanahorias en rodajas', '1 cebolla picada', '3 dientes de ajo picados', '1 ramo de cilantro fresco', '1 hoja de laurel', 'Sal y pimienta al gusto', '2 cdas de perejil picado']","['Iniciamos la preparación cortando la carne en trozos para guisar.', 'Una vez lista, en una olla grande, coloca la carne de res y chorizos con suficiente agua para cubrir. Lleva a ebullición y retira la espuma que se vaya formando.', 'Añade la cebolla, ajo, cilantro, hoja de laurel, sal y pimienta. Cocina a fuego medio por 30 minutos.', 'Incorpora las mazorcas, yuca, papas, zanahorias y continúa la cocción hasta que las verduras estén tiernas.', 'Agrega el repollo y cocina por 10 minutos adicionales hasta que esté suave pero aún firme.', 'Sirve caliente, asegurándote de incluir una buena porción de carne, chorizo y una generosa porción de yuca repollo y las otras verduras en el plato.', 'Decora cada plato con una cucharadita de perejil rociado.']",['30 minutos minutos'],['estofado'],['Colombiana'],['2 porciones'],['450kcal']
33,Receta de cazuela de mariscos ,https://www.comedera.com/cazuela-de-mariscos/,"['12 camarones grandes', '½ cebolla grande  finamente picada', '1 hoja  laurel', '2 cdas  sal  (para remojar los mariscos)', '2 tazas agua', '18 almejas', '18  mejillones', '12 vieiras', '2 cda ajo  triturado', '2 cda brandy o coñac', '½ taza salsa de tomate', '1 taza  vino blanco', '1 cda  harina de almendras', 'perejil  finamente picado', '½ pimiento  finamente picado', '1 cebolla  finamente picado']","['Pela y desvena los camarones. Reserva los camarones limpios en el refrigerador.', 'En una cacerola con los camarones, agrega ¼ de taza de cebolla picada y la hoja de laurel, cubre con 2 tazas de agua.', 'Deja hervir la mezcla de camarones a fuego medio, luego reduce a bajo.', 'Cocina a fuego lento por unos 20 minutos, revolviendo ocasionalmente, hasta que el caldo este fragante y quede aproximadamente 1 taza de líquido.', 'Cuela los camarones en una cacerola pequeña y descarta los sólidos. Sazone ligeramente con sal y revuelva. Mantén el caldo de camarones caliente.', 'Cocina el caldo con las almejas y los mejillones lavadas y descarta cualquier residuo de concha de marisco.', 'Transfiere las almejas y los mejillones a tazas grandes, llena de agua muy fría por separado.', 'Agrega 1 cucharada de sal a cada recipiente.', 'Deja las almejas y los mejillones en remojo por unos 20 minutos. Luego saca las almejas y los mejillones, desechando el líquido de remojo y luego agrégalo a un tazón.', 'Calienta el aceite de oliva en una olla o cazuela mediana pesada, a fuego medio-alto.', 'Sazona las vieiras ligeramente con sal y cocina, voltea una vez hasta que estén ligeramente doradas por ambos lados, aproximadamente 4-5 minutos. Reserva.', 'Agrega los camarones reservados a la misma olla y cocínalos alrededor de 2 minutos, volteando una vez, o hasta que se tornen rosados, Reserva los camarones en un plato.', 'Calienta el resto del aceite en la misma olla a fuego medio, y añade la cebolla restante. Cocina por unos 8 minutos, revolviendo ocasionalmente hasta que las cebollas se transparentes.', 'Revuelve en el sofrito, el ajo, el tomate y el pimiento, cocina hasta que el ajo este fragante, alrededor de 30 segundos. Añade la salsa de tomate y cocina a fuego lento.', 'Añade el brandy o cognac y lleva a ebullición.', 'Cocina alrededor de 2 minutos o hasta que se evapore el líquido. Seguidamente vierte el vino blanco y deje hervir.', 'Cocina por unos 7-8 minutos, revolviendo de vez en cuando y raspando los pedacitos dorados del fondo de la olla, hasta que el vino se reduzca a la mitad.', 'Vierte el caldo de camarón caliente reservado y deje hervir. Añade las almejas y los mejillones reservados, y deja que vuelva a hervir, tapa el recipiente.', 'Reduce el fuego a bajo y cocina lentamente, cerca de 5-8 minutos, revolviendo ocasionalmente, hasta que las almejas y los mejillones se abran.;', 'Agrega la harina de almendra, las vieiras y los camarones reservados.', 'Cocina por unos 3 minutos más, revolviendo ocasionalmente, hasta que el caldo se espese ligeramente y las vieiras y los camarones se calienten completamente.', 'Divide los mariscos entre tazas un poco profundas; vierta un poco de caldo sobre los mariscos para humedecer. Espolvorea con el perejil, si lo deseas y disfruta.']",['15 minutos minutos'],['Receta tradicional'],['Colombiana'],['6 personas'],['729kcal']
34,Receta ensalada de frutas colombiana ,https://www.comedera.com/receta-ensalada-de-frutas-colombiana/,"['1 kiwi', '1 pitahaya', '5 de fresas', '10 uvas', '100 gr de papaya picadita', '2 plátanos', '120 gr de queso crema', '40 ml de zumo de lulo', 'Crema batida para decorar', 'Coco rallado y galletas para decorar']","['Inicia la receta y mezcla en un bol el queso crema y el zumo de lulo, mezcla hasta conseguir una textura cremosa y algo líquida.', 'Luego, toma las fresas, lava y corta en rodajas. Haz lo propio con el plátano, corta en rodajas medianas.', 'Lavas las uvas muy bien y reserva.', 'Toma la pitahaya y saca la pulpa, puedes cortar en cuadritos.', 'Incorpora en el bol la papaya picada y el resto de frutas cortadas.', 'Integra todas las frutas con la mezcla de queso crema y zumo de lulo.', 'Mezcla hasta que todas las frutas se bañen con el queso crema y demás.', 'Sirve en una copa o bol mediano y decora con la crema batida, el coco rallado y la galletas.', '¡Disfruta!']",['20 minutos minutos'],['Receta tradicional'],['Colombiana'],['2 personas'],['370kcal']
35,Cómo hacer el auténtico champús colombiano ,https://www.comedera.com/como-hacer-el-autentico-champus-colombiano/,"['3 lts.  \xa0de agua', '1 libra (450 gramos) \xa0de maíz quebrado', '1 Panela', '10 Lulos cortados en dos Su pulpa', '1 Piña, pelada y picada fina', '6 hojas  de naranjo agrio', '6 Clavos de olor', '5 astillas de canela']","['Cocina el maíz en el agua (1 hora aproximadamente). Cuando esté tierno, se saca una taza del maíz y se muele; esta masa se regresa al agua y se disuelve en ella.', 'Diluye la panela en un poco de agua hasta que se haga melao.', 'Agrega las hojas de naranjo, los clavos y la canela.', 'La pulpa de lulo debe majarla con las manos, debe tener textura, no puede quedar licuado.', 'El melado se disuelve en el agua-masa con el maíz preparado y le agrega las pulpas de los lulos y la piña finamente picada en cubos.', 'Se revuelve todo muy bien y se le agrega un poco de hielo. Es costumbre servirlo frío.']",['20 minutos minutos'],['Receta tradicional'],['Colombiana'],['6 vasos'],['147kcal']
36,Receta de ceviche colombiano ,https://www.comedera.com/ceviche-colombiano/,"['1 kg. de camarones o gambas', '2 cebollas moradas o blancas', '3  limones verdes o limas', '250 gr de Salsa de tomate (ketchup)', 'Cilantro fresco', 'sal y pimienta al gusto', 'galletas de soda salada']","['Coloca una\xa0olla con suficiente agua\xa0y llévala al fuego.', 'Añade la sal y vierte los camarones, déjalos cocer durante\xa03 a 4 minutos.', 'Retíralos y déjalos reposar por 30 minutos y ¡listo!', 'Pela y pica las gambas cocidas en trocitos medianos. Resérvalas.', 'Pica la cebolla en cuadritos pequeños.', 'Vierte la cebolla en un recipiente con agua y dos cucharadas de sal y déjalo reposar durante\xa010 Minutos.', 'Pica el cilantro muy finamente.', 'Retira el agua de la cebolla picada y colócala en una taza grande\xa0junto con los camarones.', 'Agrega la salsa de tomate o ketchup, el cilantro y el jugo de los limones a los camarones.', 'Mezcla bien hasta que se incorporen todos los ingredientes y deja reposar en el refrigerador por lo menos durante una a dos horas.']",['10 minutos minutos'],['Receta tradicional'],['Colombiana'],['4 personas'],['282kcal']
37,Cómo hacer hotdog colombiano ,https://www.comedera.com/como-hacer-hotdog-colombiano/,"['2  panes medianos suaves', '2 salchichas grandes', '4 lonjas de tocineta crocantes', '1/2 Taza de papas fritas', '2 cda de mostaza', '2 cda de salsa rosada (mayonesa + ketchup)']","['Para empezar nuestra receta, vas a agregar en una licuadora las dos cucharadas de mayonesa y el diente de ajo fileteado. Procesa hasta que todo se integre.', 'Posteriormente, vas a añadir el puñado de cilantro y sal al gusto. Licúa hasta que quede una salsa verde. Reserva en un bol.', 'Para la salsa de piña, colocarás a calentar un sartén y añadirás el azúcar y cocinarás hasta que se caramelice.', 'Cuando se caramelice, le añadirás las piñas y cocinarás por 4 minutos aproximadamente.', 'Apaga y procesa en la licuadora hasta que se forme una salsa con textura. Deja enfriar y reserva.']",['25 minutos minutos'],['Receta tradicional'],['Colombiana'],['2 Personas'],['590kcal']
38,"Receta de hogao, auténtica salsa colombiana ",https://www.comedera.com/receta-de-hogao-autentica-salsa-colombiana/,"['4 cebollas blancas', '4 tomates maduros', '1 ramillete de cebollín', '1 cda de sal', '1 cda de pimienta', '1 cda de ajo en polvo', 'Aceite']","['Toma la cebolla y los tomates y córtalos en cuadritos o brunua. Al igual que el diente de ajo.', 'Haz lo mismo con el cebollín, pero en tiras.', 'En un sartén, agrega un poco de aceite de oliva y sofríe el ajo.', 'Luego le vas a añadir la cebolla, el tomate y el cebollín. Posteriormente condimentas con la sal, el ajo en polvo y una pizca de pimienta. Mezclamos y dejaremos cocinar a fuego lento por 5 minutos hasta que todas las verduras estén transparentes y hayan soltado sus jugos.', 'A mi me gusta dejarle un poco de líquido para que esté jugosa a la hora de comer. Pero puedes dejarle la consistencia que más te agrade.', '¡Terminados! Puedes comerlo tibio, o frío, como prefieras.']",['10 minutos minutos'],['Receta tradicional'],['Colombiana'],['3 raciones'],['100kcal']
39,Cómo hacer tamales colombianos antioqueños ,https://www.comedera.com/como-hacer-tamales-colombianos-antioquenos/,"['1 cebolla grande', '4 dientes de ajo', '1 pimiento rojo', '1 pimiento verde', '4 ramilletes de cebollín cebolla de verdeo', '4 cda comino molido', '5 cda azafrán', '3 cda. sal', '7 tazas agua', '½ kg.   tocino carnudo  cortado en trozos medianos', '250 grs. carne de cerdo\xa0cortada  cortada en trozos medianos', '1 kg. costillas de cerdo\xa0 cortado en trozos', '3 papas  cortadas en cubos pequeños', '1 taza  arvejas  frescas o congeladas', '1 zanahoria grande cortada en cubos pequeños', '½ kg.  harina de maíz precocida amarilla', '1 kg. hojas de plátano limpias y cortadas en cuadrados de 30 cm.', 'hilo para amarrar los tamales']","['Ponemos en la licuadora la cebolla, el cebollín, el ajo, los pimientos y 2 cucharadas de sal, 3 cucharadas de azafrán y el comino con 3 tazas de agua. Reservamos.', 'En un bol grande colocamos las carnes y vertemos la mitad de los aliños licuados, dejamos marinar desde la noche anterior, dentro de la nevera.', 'En un envase colocamos los cubos de zanahoria y en otro los de papa y reservamos hasta que armemos el tamal. En otro colocamos las arvejas.']",['50 minutos minutos'],['Receta tradicional'],['Colombiana'],[],['863kcal']
40,Hagamos estas deliciosas carimañolas ,https://www.comedera.com/hagamos-estas-deliciosas-carimanolas/,"['1 kg yuca  pelada y cortada por la mitad', '1 cda.  sal fina', '2 lts. agua', '2 cda harina de trigo']","['En una olla profunda, vertemos el agua y la sal y ponemos a fuego medio alto hasta que hierva, ponemos a cocinar la yuca limpia y picada por la mitad. Dejamos cocinar por 20 minutos o hasta que esté blanda.', 'Sacamos la yuca de la olla y ponemos a escurrir sobre un colador hasta que bote toda el agua. Ponemos en un envase en el que podamos triturar con facilidad, preferiblemente con fondo plano.', 'Debemos retirar el corazón que trae la yuca en el medio, vamos a hacer un puré con la ayuda de un procesador de papas, añadimos un poco de sal y las dos cucharadas de harina de trigo y amasamos. Reservamos.']",['30 minutos minutos'],"['desayuno, fritura']",['Colombiana'],[],['110kcal']
41,Receta de arroz con pollo colombiano ,https://www.comedera.com/receta-de-arroz-con-pollo-colombiano/,"['2 tazas de arroz', '1 pechuga de pollo', '1 zanahoria', '50 gr de guisantes o arvejas enteras', '1 cebolla', '1 pimentón o morrón rojo', '1 ramillete de cebollín', '2 dientes de ajo', '1 cda de sal', '1 cda de pimienta', '1 cda de ajo en polvo', '3 cda de pasta o salsa de tomate', '4 tazas de agua', 'Aceite de oliva']","['Coloca una olla con agua a calentar y agrega la pechuga de pollo con 1 diente de ajo picadito y una pizca de sal. Cocina por 30 minutos aproximadamente.', 'Tomas la zanahoria, el pimentón y la cebolla para cortarlos en cuadritos o brunua. Haz lo mismo con el cebollín y el ajo, pero en tiras.', 'Calienta una cazuela con 2 cucharadas de aceite de oliva y le agregará el ajo picado, una vez sofrito añadirás el arroz y mezclarás muy bien. Lo que buscamos es que el arroz quede salteado. Posteriormente le vamos a añadir las 4 tazas de agua y dejaremos cocinar hasta que esté listo o se haya evaporado completamente el líquido.', 'Agarra tu pechuga de pollo previamente hervida y la vas a desmenuzar. Resérvala.', 'Coloca un sartén grande y hondo y pondrás a calentar con aceite y le añadirás la cebolla y sofreirás hasta que esté transparente. Posteriormente vas a añadir el resto de los vegetales, mezclarás y dejarás cocinar por 5 minutos tapado y a fuego lento para que el vapor ablande la zanahoria.', 'Pasado los 5 minutos, añade el pollo, junto a todos los condimentos y las cucharadas de pasta de tomate, mezcla muy bien hasta que todo se integre.', 'Luego, agregarás el arroz para incorporar todo. Una vez que hayas mezclado perfectamente bien, retirarás del fuego.', 'Ahora, tienes un arroz colombiano exquisito y preparado en casa.', 'Sírvelo tibio para que puedas degustarlo bien.']",['20 minutos minutos'],['Receta tradicional'],['Colombiana'],['4 personas'],['500kcal']
